time,open,high,low,close,MA №1,MA №2,MA №3,MA №4,Volume,Volume MA,Plot,Shapes,RSI,MF
1540857600,6344.5,6395,6317.01,6330.87,6465.436229454163,6524.993468876802,6532.082000000002,7175.180200000003,8877.175385,21103.10478499999,-278.45418214285615,0,37.584101601807156,-0.2920005227699916
1540944000,6330.01,6428,6245.02,6371.93,6446.73498356333,6513.6554341451865,6533.622400000001,7167.044800000004,12148.888216,19275.21744749999,-319.8311321428559,0,40.67246115032,-0.20923516510349632
1541030400,6369.52,6442.65,6348.66,6410,6439.387986850665,6505.977253838136,6535.050000000001,7157.319800000005,9099.035841,18279.965668599987,-349.3191428571418,0,43.46560923258005,-0.22722588844693897
1541116800,6410,6460.34,6388.2,6433.98,6438.306389480532,6500.644123924199,6533.982000000001,7149.165100000005,9739.440679,17812.034201299986,-369.07276428571305,0,45.215247691449335,-0.2578512009558793
1541203200,6432.8,6439.97,6345,6387.09,6428.063111584425,6492.232707337222,6532.191200000001,7141.675450000005,7661.241476,17413.725709399987,-394.86332499999855,0,42.44883413548974,-0.24741917794299123
1541289600,6388,6525,6359,6485.85,6439.6204892675405,6491.759914201131,6531.609,7133.2397000000055,10592.394943,13405.943894249987,-343.42513571428424,0,49.46230719212101,-0.18401522625304148
1541376000,6485.85,6504.39,6431.02,6468.99,6445.494391414032,6490.0732538899365,6530.8888,7124.194650000006,8987.882156,12477.440113849987,-288.7788928571415,0,48.37840101942753,-0.17173929538806412
1541462400,6468.99,6531.31,6445.18,6519.11,6460.217513131226,6492.224123972163,6536.297200000001,7112.505300000006,11926.565699,11741.696829849987,-224.32566785714133,0,51.76247982378636,-0.14160878418749054
1541548800,6522.73,6615.15,6509,6578.46,6483.866010504981,6498.611966640892,6541.137400000001,7100.821050000006,14271.591117,11449.450288649987,-155.07857499999838,0,55.48399300403717,-0.07799957538269262
1541635200,6578.46,6594,6468.22,6479.84,6483.060808403985,6497.221450593419,6542.8964000000005,7089.285150000006,13259.789282,11073.809714249988,-116.22414999999845,0,48.75319402885605,-0.044475937890839805
1541721600,6479.84,6511.53,6391.01,6419.99,6470.446646723188,6491.500602401314,6541.456200000001,7076.715050000006,11787.616583,10701.154431049988,-84.99276428571272,0,45.17181495295885,-0.11759932171058045
1541808000,6419.99,6475.55,6411,6433.05,6462.96731737855,6487.170928149365,6534.9368,7060.780350000006,7714.829926,10761.12803774999,-50.90451785714134,0,46.10224052056782,-0.10532328127846602
1541894400,6435.16,6462.14,6355,6449.81,6460.33585390284,6484.4034519901525,6529.472,7048.679450000008,8213.507117,10361.11876059999,-15.683424999998294,0,47.337323716269076,-0.06992270987131456
1541980800,6450.71,6497,6421,6453.07,6458.882683122272,6482.082455546438,6524.3733999999995,7034.614800000008,10132.782567,10174.927801149988,15.287996428573024,0,47.58890423577879,-0.07603658316297564
1542067200,6451.68,6498,6391.15,6457.66,6458.638146497818,6480.27338476522,6521.898799999999,7022.326350000007,11790.564933,10166.87884894999,46.634514285715795,0,47.96581850559933,-0.02873268222690084
1542153600,6458.98,6482.84,5656.87,5922.41,6351.392517198254,6438.950171078907,6511.396199999999,7005.198400000007,46478.964003,11973.691986899988,2.311471428572929,0,25.20371003460062,-0.08072019877172357
